,3,1,29,4,32,5,31,7,8,33,9,10,11,12,13,14,15,18,19,20,2,16,22,26,24,25,23,0,program,body,var_sct,var_dcl,var_dcl',identifier',block,stmt,stmt',assgm_stmt,read_stmt,write_stmt,if_stmt,else_stmt,while_stmt,expr,arithm_expr,term,factor,literal,bool_expr,
51,,s17,,,,,,s6,,,s18,s19,s20,,,s21,,,,,,,,,,,,,,,,,,,16,64,,11,12,13,14,,15,,,,,,,
52,,s39,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,65,37,38,,,
53,,s39,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,66,37,38,,,
54,,s39,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,67,37,38,,,
55,,s39,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,68,37,38,,,
56,,s39,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,69,37,38,,,
57,,s39,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,70,38,,,
58,,s39,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,71,38,,,
59,,s39,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,
60,,s17,,,,,,s6,,,s18,s19,s20,,,s21,,,,,,,,,,,,,,,,,,,16,73,,11,12,13,14,,15,,,,,,,
61,,,,,,,s43,r7,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,
62,,,,,,,r5,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,s76,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,
65,,,,,,,r40,,r40,,,,,r40,r40,,r40,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,r41,,r41,,,,,r41,r41,,r41,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,r42,,r42,,,,,r42,r42,,r42,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,r43,,r43,,,,,r43,r43,,r43,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,r44,,r44,,,,,r44,r44,,r44,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,r30,,r30,,,,,r30,r30,,r30,r30,r30,s59,,,r30,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,r31,,r31,,,,,r31,r31,,r31,r31,r31,s59,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,r33,,r33,,,,,r33,r33,,r33,r33,r33,r33,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,r27,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,r24,,r24,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,r25,,r25,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,s17,,,,,,s6,,,s18,s19,s20,,,s21,,,,,,,,,,,,,,,,,,,16,78,,11,12,13,14,,15,,,,,,,
78,,,,,,,r26,,r26,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
